복숭아 peach
배 pear
딸기 strawberry
양배추 cabbage
배추 korean_cabbage
파프리카 paprika
송로버섯 truffle
표고버섯 shiitake_mushroom
송이버섯 pine_mushroom
망고 mango
코코넛 coconut
블루베리 blueberry
아몬드 almond
쌀 rice
호두 walnut
감자 potato
고구마 sweet_potato
당근 carrot
대파 green_onion
무 radish
파스닙 parsnip
비트 beat
생강 ginger
브로콜리 broccoli
아스파라거스 asparagus
호박 pumpkin
오이 cucumber
토마토 tomato
고추 pepper
마늘 garlic
멜론 melon
포도 grape
수박 watermelon
사과 apple
바나나 banana
체리 cherry
앵두 korean_type_cherry
레몬 lemon
파인애플 pineapple
참외 oriental_melon
귤 tangerine
아보카도 avocado
키위 kiwi
땅콩 peanut
밤 chestnut
마카다미아 macadamia
밀 wheat
팥 red_bean
강낭콩 kidney_bean
인삼 ginseng
알로에 aloe
